stock_symbol,Date,Open,High,Low,Close,Volume
ICICIBANK.NS,27-01-2015,309.8629536,318.3852011,308.373608,317.3095703,13932787
ICICIBANK.NS,28-01-2015,316.8544732,325.5008483,315.7374849,317.7646179,14787690
ICICIBANK.NS,29-01-2015,314.4964708,317.5578779,310.73179,314.6619568,22085259
ICICIBANK.NS,30-01-2015,315.6134468,316.0685192,293.4389966,298.4447937,31372235
ICICIBANK.NS,02-02-2015,298.1137667,298.4447386,289.5915198,291.1222229,37165959
ICICIBANK.NS,03-02-2015,291.2463628,295.2179142,285.5372646,286.7783813,25975650
ICICIBANK.NS,04-02-2015,286.3232601,287.3161478,281.5243076,285.1648865,15639435
ICICIBANK.NS,05-02-2015,282.0621485,285.7027278,275.3188054,277.6769104,18771838
ICICIBANK.NS,06-02-2015,278.0079315,281.3175395,271.1404588,272.5056763,17811770
ICICIBANK.NS,09-02-2015,270.9749336,270.9749336,263.5282889,264.810791,15330887
ICICIBANK.NS,10-02-2015,263.5282813,277.1804535,261.7907346,273.9122314,31301276
ICICIBANK.NS,11-02-2015,276.4357932,281.2761037,276.3116926,276.932251,13732188
ICICIBANK.NS,12-02-2015,279.8282411,282.4345479,273.043511,280.6142578,14372362
ICICIBANK.NS,13-02-2015,284.6271523,286.1992412,281.4830303,284.5030518,9926537
ICICIBANK.NS,16-02-2015,287.0680045,287.0680045,278.3388841,279.7041016,11084024
ICICIBANK.NS,18-02-2015,281.0693094,284.6271463,281.0693094,283.3033142,8830098
ICICIBANK.NS,19-02-2015,281.4002416,284.5030056,274.9050994,280.1177673,10326464
ICICIBANK.NS,20-02-2015,277.1804634,277.8424071,271.8023373,273.8294983,17197010
ICICIBANK.NS,23-02-2015,275.525703,276.7668199,270.5612909,272.216095,12236793
ICICIBANK.NS,24-02-2015,272.6297735,274.2018623,268.4927636,269.775238,12177664
ICICIBANK.NS,25-02-2015,271.0575804,273.8707569,265.8035568,266.8378296,18029910
ICICIBANK.NS,26-02-2015,268.65824,269.2787984,264.893532,265.8450623,18356309
ICICIBANK.NS,27-02-2015,268.5754969,278.8766776,267.2516371,277.3873596,17157486
ICICIBANK.NS,02-03-2015,290.2948571,291.205002,281.7725814,288.8055115,16237130
ICICIBANK.NS,03-03-2015,287.9367025,289.1777913,284.7098106,288.4745178,16309976
ICICIBANK.NS,04-03-2015,297.8655723,299.5203759,286.3232766,289.0537109,27007377
ICICIBANK.NS,05-03-2015,286.6129005,289.5088211,281.40026,287.7298889,12677758
ICICIBANK.NS,09-03-2015,282.9722676,283.7583118,274.4913786,275.3601379,13711772
ICICIBANK.NS,10-03-2015,275.27746,279.4972124,273.333042,276.0634766,15690129
ICICIBANK.NS,11-03-2015,276.0221589,278.7939515,272.216093,275.2361145,11762499
ICICIBANK.NS,12-03-2015,279.2903706,281.069275,276.8908802,279.828186,12265104
ICICIBANK.NS,13-03-2015,285.4545245,286.2819265,272.216066,273.2089539,14368069
ICICIBANK.NS,16-03-2015,272.629718,275.5256383,269.4442113,274.2431641,12496540
ICICIBANK.NS,17-03-2015,274.6982609,278.4215833,273.1675576,277.056366,11214858
ICICIBANK.NS,18-03-2015,275.608412,278.4629749,273.9122505,277.0150146,9603665
ICICIBANK.NS,19-03-2015,280.9038001,282.4758887,271.6782506,273.2089539,15488184
ICICIBANK.NS,20-03-2015,272.1332981,272.4228846,262.0389622,263.6110229,23389273
ICICIBANK.NS,23-03-2015,266.4656131,266.7551997,258.5225101,259.6395264,11517028
ICICIBANK.NS,24-03-2015,256.909037,261.9975759,256.0402499,258.0673828,18209548
ICICIBANK.NS,25-03-2015,258.1501434,263.9419838,257.4054845,262.2044373,15109255
ICICIBANK.NS,26-03-2015,257.3227575,259.556762,250.3725708,254.7991943,34971712
ICICIBANK.NS,27-03-2015,258.9775991,261.6253188,255.0474327,260.2601013,17383920
ICICIBANK.NS,30-03-2015,261.7080412,264.355761,259.2672206,263.6938171,14140124
ICICIBANK.NS,31-03-2015,263.8593516,267.0448596,259.6395978,261.0461731,14317689
ICICIBANK.NS,01-04-2015,260.6323893,268.4099778,259.846345,267.3757324,9190830
ICICIBANK.NS,06-04-2015,269.2787711,269.2787711,264.2315891,265.8036499,10512775
ICICIBANK.NS,07-04-2015,267.2102119,267.6238989,260.6323555,262.618103,9849292
ICICIBANK.NS,08-04-2015,263.8592706,264.5211866,260.2600765,260.7151489,9158573
ICICIBANK.NS,09-04-2015,263.1146076,266.3414722,262.2044627,265.2658691,13516230
ICICIBANK.NS,10-04-2015,264.3557419,266.1346464,262.4527091,263.362854,9053218
ICICIBANK.NS,13-04-2015,264.6866427,264.6866427,261.4597784,262.2044373,8810668
